npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 10 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /transaksi-berulang/__next.transaksi-berulang.__PAGE__.txt?_rsc=ac48p
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /cicilan/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 GET /cicilan/__next.cicilan.txt?_rsc=qvry8
 HTTP  1/30/2026 5:40:37 PM ::1 GET /cicilan/__next.cicilan.__PAGE__.txt?_rsc=17opl
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 3 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/c41d53c87bdac277.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /anggaran/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 4 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /anggaran/__next.anggaran.txt?_rsc=19wqk
 HTTP  1/30/2026 5:40:37 PM ::1 GET /anggaran/__next.anggaran.__PAGE__.txt?_rsc=wpy1q
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/ba4baeeb91bf7a99.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/heatmap/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 7 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 7 ms
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 6 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/heatmap/__next.statistik.txt?_rsc=1nr9w
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 1 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/heatmap/__next.statistik.heatmap.txt?_rsc=11vfu
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 2 ms
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/6692037ea15e04a7.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/c19c4050f0781534.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /_next/static/chunks/446e484ec4f8bf12.js
 HTTP  1/30/2026 5:40:37 PM ::1 GET /statistik/heatmap/__next.statistik.heatmap.__PAGE__.txt?_rsc=bsfk7
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/perbandingan/__next._head.txt?_rsc=15rc3
 HTTP  1/30/2026 5:40:37 PM ::1 GET /laporan/perbandingan/__next.laporan.txt?_rsc=1fkh8
 HTTP  1/30/2026 5:40:37 PM ::1 Returned 200 in 5 ms
